AA,0.841951605,4,2.7
BB,0.544296142,4,2.7
AB,0.687381624,4,2.7
CC,3.177775105,4,2.7
AC,0.65185838,4,2.7
BC,1.279866763,4,2.7
DD,5.412029365,4,2.7
AD,1.083292166,4,2.7
BD,1.688646013,4,2.7
EE,13.0434027,3,2
AE,1.340311202,4,2
BE,1.815378059,4,2
CE,4.628852974,4,2
FF,5.694051935,3,2
CF,2.779112231,4,2
AF,1.337290917,4,2
BF,1.534590415,4,2
GG,33.25710407,3,2
HH,26.70445152,3,2
AG,5.241952601,3,2.4
BG,7.868931405,3,2.4
CG,11.27815721,3,2.4
EG,24.91968282,3,2.4
FG,17.71752214,3,3.8
AH,4.151693179,3,2
BH,5.959795343,3,2
CH,8.243314604,3,2
EH,24.20855559,3,3.3
GH,32.18644917,3,3.8
FH,15.6989,3,3.8
