AA,-0.033715494,4
AB,-0.036913772,4
BB,-0.02836732,4
CC,-0.193321969,4
AC,-0.070760626,4
BC,-0.133720625,4
DD,-0.40372383,4
AD,-0.229345916,4
BD,0.003247029,4
EE,-1.967417718,4
AE,-0.124705575,4
BE,-0.424240364,4
CE,-0.989771304,4
EG,-5.453622319,4
EH,-3.893678911,4
FF,-2.128561565,3
AF,-0.486394944,3
BF,-0.848970053,3
CF,-0.785597518,3
FG,-7.922329595,3
FH,-5.392143955,3
GG,-16.36323396,3
AG,-0.722578873,4
BG,-0.089556675,4
CG,-2.038692011,4
GH,-14.91397635,3
HH,-12.81114542,3
AH,-0.53488856,4
BH,-0.08068208461739028,4
CH,-1.1839944657578831,4
